id,autor,titulo,editorial,anio,clasificacion
2331,"Nava Pacheco, M. L.","En busca de la modernidad: Una Historia de Maestros en la Villa de San Felipe del Progreso Durante el
Porfiriato",Consejo Editorial de la administración pública,2009,BIMEBI C.190 N383 2009
2332,Biblioteca Mexiquense del Bicentenario,Breve crónica de las ediciones en el Edo de Méx.,Consejo Editorial de la administración pública,2009,BIMEBI C.191 B6353 2009
2333,"Navarro Ruíz, F. A.","A la luna, a las dos y a las tres…",Consejo Editorial de la administración pública,2009,BIMEBI C.192 N383 2009
2334,Biblioteca Mexiquense del Bicentenario,Evolución geopolítica y social de Valle de Bravo 1820- 1917,Consejo Editorial de la administración pública,2009,BIMEBI C.193 B6353 2009
2335,Ballestra. B.,Donde la niebla se extiende,Consejo Editorial de la administración pública,2010,BIMEBI C.194 B3554 2010
2336,"Reynaud, E.",Obra negra,Consejo Editorial de la administración pública,2009,BIMEBI C.195 R4563 2009
2337,"Bravo Varela, H.",Historia de mi hígado y otros ensayos,Consejo Editorial de la administración pública,2011,BIMEBI C.196 B7386 2011
2338,"González Torres, A.",Del sexo de los filósofos,Consejo Editorial de la administración pública,2011,BIMEBI C.197 G6693 2011
2339,"Bartolo, J.",Diente de león,Consejo Editorial de la administración pública,2009,BIMEBI C.198 B3786 2009
2340,"Azcárate Barón, L.",Zona de olvido,Consejo Editorial de la administración pública,2009,BIMEBI C.199 A9337 2009
2341,"Cruz Chávez, V. A.",Los hijos del caos,Consejo Editorial de la administración pública,2009,BIMEBI C.200 C789 2009
2342,"Rosenzweig, C.",Volanteo: Hilera de tejas a cielo abierto,Consejo Editorial de la administración pública,2009,BIMEBI C.201 R6746 2009
2343,"Mendoza Hernández, P.",Territorios,Consejo Editorial de la administración pública,2009,BIMEBI C.202 M4636 2009
2344,"Quijano, H.",Cuerda floja,Consejo Editorial de la administración pública,2010,BIMEBI C.203 Q5536 2010
2345,"Castro, D.",Gota iridiscente que salpica,Consejo Editorial de la administración pública,2009,BIMEBI C.204 C3787 2009
2346,"Casar, E.",Grandes maniobras en miniatura,Consejo Editorial de la administración pública,2009,BIMEBI C.205 C3737 2009
2347,"Moro, D.",Veinticinco sesentayocho,Consejo Editorial de la administración pública,2011,BIMEBI C.206 M676 2011
2348,"Sallenave, J. P.","La gerencia integral ¡No le tema a la competencia,
témale a la incompetencia!",Norma,2002,HD41 S35 2002
2349,"Cervantes Nemer, B. V. y J. Loredo Enríquez","Manual pedagógico de prácticas de química general en
microescala","Universidad
Iberoamericana",2010,QD45 C4782 2010
2350,"Cisternas, L. A.",Diagramas de fases y su aplicación,Reverte,2009,QD503 C57 2009
2351,"Badui Dergal, S.",Química de los alimentos,Pearson Educación,2006,TX545 B33 2006
2352,"González Márquez, J. J.","La responsabilidad por el daño ambiental en México: El
para digma de la reparación",Uam Azcapotzalco,2002,KGF3421 G66 2002
2353,"Bronson, R. y G. B. Costa",Ecuaciones diferenciales,"McGraw-
Hill/Interamericana",2008,QA371.32 B7618 2008
2354,"Asfahl, C. R. y D. W. Rieske",Seguridad industrial y administración de la salud,Pearson Educacion,2010,T55 A7718 2010
2355,"Brown, W. H.",Introducción a la química orgánica,Gpo. Editorial Patria,2009,QD253 B72 2009
2356,"Bolton, W.","Mechatronics: Electronic control systems in mechanical
and electrical engineering",Pearson Education,2008,TJ163.12 B63 2008
2357,Gobierno del Estado de México,"Gesta. Historia, arte y ciencia en el Estado de México",Consejo Editorial de la administración pública,2009,BIMEBI C.207 G6476 2009
2358,Gobierno del Estado de México,"Gesta. Historia, arte y ciencia en el Estado de México",Consejo Editorial de la administración pública,2008,BIMEBI C.208 G6476 2008
2359,"Cárdenas García, J. F.",Partidos políticos y democracia T.8,IFE,1996,JC423 C37 1996
2360,Instituo Federal Electoral,"La organización ciudadana en la defensa y el ejercicio de
los derechos civiles y políticos",IFE,2000,JL1281 O738 2001
2361,"Romero Cabello, R.",Microbiología y parasitología humana: Bases etiológicas de las enfermedades infecciones y parasitarias,Médica Panamericana,2007,RC111 R65 2007
2362,"Tagüeña, J. y M. Martínez",Fuentes renovables de energía y desarrollo sustentable,CONACULTA,2008,HD9502.M482 T34 2008
2363,"Virgil Moring, F.",Termodinámica,Limusa,2010,TJ265 F313 2010
2364,"Amábile Cibils, G. M.",Problemática de la contaminación ambiental,Educa,2008,KHA3421 A53 2008
2365,"Departamento de Sanidad del Estado de Nueva
York",Manual de tratamiento de aguas negras,Limusa,2011,TD430 N4218 2011
2366,"Colomer Mendoza, F. J. y A. Gallardo Izquierdo
(couat)",Tratamiento y gestión de residuos sólidos,Limusa,2010,TD791 C65 2010
2367,"Vázquez Martínez, L., S. Jiménez Burillo, C. Aguirre
Maeso & P. J. Pascual Broncado",Métodos numéricos para la física y la ingeniería,"McGraw-
Hill/Interamericana",2009,QA297 M487 2009
2368,"G. Zill, D. y M. R. Cullen","Matemáticas avanzadas para ingeniería. Ecuaciones
Difrenciales Vol.1","McGraw-
Hill/Interamericana",2008,TA330 Z5518 2008 V.1
2369,"G. Zill, D. y J. M. Dewar","Matemáticas avanzadas para Ingeniería. Cálculo vectorial, análisis de fourier y análisis complejo Vol.2",McGraw- Hill/Interamericana,2008,TA330 Z55318 2008 V.2
2370,"Dunnette, M. D. y W. K. Kirchner",Psicología industrial,Trillas,2007,HF5548.8 D8 2007
2371,"Aamodt, M. G.",Psicología industrial/organzacional. Un enfoque aplicado,Cengagr Learning,2010,HF5548.8 A17 2010
2372,"Edwards Deming, W.","Calidad, productividad y competitividad. La salida de la
crisis",Díaz de Santos,1989,HD70.U5 D4518 1989
2373,"Legault, G.",Alcanzar la calidad total. En una empresa de servicios,Trillas,2000,HD9980.5 L4618 2000
2374,"Ariza Montes, J. A., A. C. Morales Gutiérrez y E. Morales Fernández","Dirección y administración integrada de personas. Fundamentos, procesos y técnicas en práctica",McGraw- Hill/Interamericana,2004,HF5549.5C7 A75 2004
2375,"Cawood, D.",Técnicas asertivas de dirección de personal,Deusto,2005,HF5549 C38618 2005
2376,"Núñez Murillo, E. & A. Jáuregui Covarrubias",La supervisión efectiva: El papel del supervisor,Pax,2007,HF5549 N86 2007
2377,"Smith, C. C.",Guías para supervisores,Trillas,2008,HF5500 S65 2008
2378,"Tamez, Esparsa, E.",Dibujo técnico,Limusa,2011,T353 T33 2011
2379,"Cordoba, E., C. González y C. Córdoba",Photoshop CS4 Superfácil,Alfaomega,2009,TR267.5A3 C67 2009
2380,"Sánchez Allende, J, [et. al]",Programación en JAVA,"McGraw-
Hill/Interamericana",2009,QA76.73.J38 P76 2009
2381,"Weiss, G. y D. M. Arnow","Introducción  a  la  programación  con  JAVA.  Un  enfoque
orientado a objetos",Addison Wesley,2001,QA76.73J38 A7718 2001
2382,"Cheney, W. y D. Kincaid",Métodos numéricos y computación,CENGAGE Learning,2011,QA297 C4218 2011
2383,"Haaser, N. B., J. P. LaSalle y J. A. Sullivan",Análisis matemático. Curso de introducción V.1,Trillas,2005,QA300 H322 2005 V.1
2384,"Holum, J. R.","Fundamentos de química general, orgánica y bioquímica
para ciencias de la salud",Limusa Wiley,2011,QD31.2 H6518 2011
2385,"Laguna, J., [et. al]",Bioquímica de laguna,Manual moderno,2009,QD415 L3 2009
2386,"Yurkanis Bruice, P.",Química orgánica,Pearson Educacion,2008,QD251.2 B7818 2008
2387,"Smith, C., A. D. Marks y M. Lieberman",Bioquímica básica de Marks. Un enfoque clínico,"McGraw-
Hill/Interamericana",2006,QP514.2 M368 2006
2388,"L. Nelson, D. y M. M. Cox",Lehninger: Principios de bioquímica,Omega,2009,QH345 L4318 2009
2389,"Voet, D. y J. G. Voet",Bioquímica,Médica Panamericana,2006,QP514.2 V6418 2006
2390,"L. Lehninger, A.","Bioquímica: Las bases moleculares de la estructura y
función celular",Omega,2003,QH345 L44 2003
2391,"Quiñoá Cabana, E. y R. Riguera Vega",Cuestiones y ejercicios de química orgánica,"McGraw-
Hill/Interamericana",2004,QD1257 Q56 2004
2392,"Woodfield, B. F., M. C. Asplund y S. Haderlie",Laboratorio virtual de química general,Pearson Educacion,2009,QD31.3 W66 2009
2393,"D. Christian, G. D.",Química Analítica,"McGraw-
Hill/Interamericana",2009,QD101.2 C4618 2009
2394,"Martínez de la Cuesta, P. J. y E. Rus Martínez","Operaciones de separación en ingeniería química.
Métodos de cálculo",Pearson Educación,2004,TP156.S45 M377 2004
2395,"Sánchez Enriquez, S., S. Uribe Luna y L. J. Flores
Alvarado",Manual de prácticas bioquímica,"McGraw-
Hill/Interamericana",2008,QD415.5 F56 2008
2396,"Harris, D. C.",Quantitative chemical analysis,Freeman,2007,QD101.2 H37  2007
2397,"Ruiz Sánchez, J. J., J. M. Rodríguez Mellado, E. Muñoz Gutiérrez & J. M. Sevilla Suárez De Urbina",Curso experimental en química física,Síntesis,2003,QD456 C87 2003
2398,"Rodríguez Renuncio, J. A., J. J. Ruiz Sánchez y J. S.
Urieta Navarro",Problemas resueltos de termodinámica química,Sintesis,2000,QD504 R632 2000
2399,"González Velasco, J. R., [et. al]",Cinética Química aplicada,Sintesis,1999,QD502 C58 1999
2400,"Tuñón, I. y E. Silla",Química molecular estadística: Termodinámica estadística para químicos y bioquímicos,Sintesis,2008,QC311.5 T85 2008
2401,"Rodriguez Yunta, M. J. y F. Gómez Contreras",Curso experimental en química organica,Sintesis,2008,QD257 R64 2008
2402,"Rodríguez Pérez, C. M., J. L. Ravelo Socas y J. M.
Palazón",Técnicas de organización y seguridad en el laboratorio,Sintesis,2008,QD63.5 R63 2008
2403,"Martínez Grau, M. A. y A. G. Csákÿ",Técnicas experimentales en síntesis orgánica,Sintesis,2008,QD261 M37 2008
2404,"Ollero de Castro, P. y E. Fernández Camacho",Control e instrumentación de procesos químicos,Sintesis,2006,TP155.75 O55 2006
2405,"D. McNaught, A. y A. Wilkinson",Compendio de terminología química,Sintesis,2003,QD7 C6518 2003
2406,"Climent Olmedo, M. J., [et. al]",Química orgánica: Principales aplicaciones industriales,Limusa,2011,TP247 Q86 2011
2407,"Alley, E. R.",Water quality control. Handbook,McGraw-Hill/Companies,2007,TD420 A45 2007
2408,"A. Cengel, Y.",Heat and mass transfer: A practical approach,Sintesis,2006,TJ260 C465 2007
2409,"G. Spiro, T. y W. M. Stigliani",Química medioambiental,Pearson Educación,2004,TD193 S6518 2004
2410,"Mazza, G.","Alimentos funcionales: aspectos bioquímicos y de
procesos",Acribia,1998,QP144.V44 A5518 1998
2411,"Coultate, T. P.",Manual de química y bioquímica de los alimentos,Acribia,2002,TX551 C75718 2002
2412,"Cepeda Dovala, J. M.",Química de suelos,Trillas,2009,S592.5 C46 2009
2413,"Bloomfield, M. M.",Química de los organismos vivos,Limusa,2008,QD33 B5618 2008
2414,Instituto Mexicano de Contadores Públicos,"Normas de auditoría, para atestiguar, revisión y otros servicios relacionados",Instituto de Contadores Públicos,2011,HF5667 N675 2011
2415,"Dickson, T. R.",Química: Un enfoque ecológico,Limusa,2008,QD31.2 D5 2008
2416,"Teijón Rivera, J. M. y A. Garrido Pertierra (coord)",Fundamentos de bioquímica estructural,Alfaomega,2005,QH345 F86 2005
2417,The Royal Society of Chemistry,Experimentos de química clásica,Sintesis,2008,QD43 E9718 2008
2418,"Garrido Pertierra, A. y J. M. Teijón Rivera (Coord)",Fundamentos de bioquímica metabólica,Alfaomega,2005,QH345 F864 2005
2419,"Aoki Maki, K., E. Calva Cuadrilla y A. R. Cortés
Arroyo","Bioquímica analítica: Preguntas y problemas orientados
a la nutrición",Méndez,2003,QP141 M23 2003
2420,"P. Webb, G.",Complementos nutricionales y alimentos funcionales,Acribia,2006,RM258.5 W4318 2006
2421,"Háuad Marroquín, L.",Manual de fitoterapia,Trillas,2010,RS164 H38 2010
2422,"Osborne, D. R. y P. Voogt",Análisis de los nutrientes de los alimentos,Acribia,1978,TX545 O7218 1978
2423,"Santillán Márquez, J. L.",Cálculos químicos para la preparación de soluciones,Trillas,2003,QD541 S35 2003
2424,"Melo Ruiz, V. y O. Cuamatzi Tapia",Bioquímica de los procesos metabólicos,Reverte,2007,QP171 M45 2007
2425,"Vilar Compte, R.",Catálisis: La magia de la química,"Dirección General de Divulgación de la Ciencia,
UNAM",2000,QD501 V55 2000
2426,"R. Evans, J. y W. M. Lindsay",Administración y control de la calidad,Cengage Learning,2008,TS156 E8318 2008
2427,"Orozco Gumán, M. A. y J. Chávez Alatorre",Taller de programación y cómputo. Teoría y práctica,Thomson,2002,QA76.6 O73 2004
2428,"Quiroga Feijóo, M. L.","Estereoquímica. Conceptos y aplicaciones en química
orgánica",Síntesis,2007,QD481 Q855 2007
2429,"Reyes Meléndez, O.",Tallado de frutas y verduras,"Talleres Gráficos
Peñalara",2009,TX871 R49  2009
2430,"Kanashiro Castañeda, J. A.",Cocteles,Grafos,2011,TX951 K36 2011
2431,"Puig, S. y M. Stoopen",Especialidades regionales: Cocina mexicana,Everest,2010,TX716.M4 P8.C6 2010
2432,"Farrow, J., [et. al]",El gran libro de la repostería paso a paso,Everest,2008,TX773 F37 2008
2433,"Cordon Blue, L.",Cocina completa,Everest,2011,TX725 C67 2011
2434,"Romero, C., F. Vázquez y C. Castro de",Domótica e inmótica. Viviendas y edificios inteligentes,Alfaomega,2011,TA6012 R65 2011
2435,"Carriedo, G. A.",La química Inorgánica en reacciones,Síntesis,2010,QD501 C358 2010
2436,"Verdeja, L. F., J. P. Sancho y A. Ballester",Materiales refractarios y cerámicos,Síntesis,2008,TA418.26 V47 2008
2437,"Casas Fernández, J. S., [et. al]",Química bioinorgánica,Síntesis,2002,QP531 Q85 2002
2438,"Pingarrón Carrazón, J. M. y P. Sánchez Batanero",Química electroanalítica,Síntesis,2003,QD115 S32 2003
2439,"Higson, S.",Química analítica,"McGraw-
Hill/Interamericana",2007,QD101.2 H5418 2007
2440,"Borrell Bilbao, J. I., J. Teixidó Closa y J. L. Falcó",Síntesis orgánica,Síntesis,2003,QD262 B67 2003
2441,"Rodríguez  Renuncio, J. A., J. J. Ruiz Sánchez y J. S.
Urieta Navarro",Termodinámica química,Síntesis,2000,QD504 R63318 2000
2442,"Requena Rodríguez, A. y J. Zúñiga Román",Espectroscopía,Pearson Educacion,2004,QC451 R46 2004
2443,"Areizaga, J., [et. al]",Polímeros,Síntesis,2002,QD381 P643 2002
2444,"Sedeño Orive, P. Y., J. M. Pangarrón Carrazón y F. J.
M. Villeda Rueda de",Problemas resueltos de química analítica,Síntesis,2008,QD75.9 Y35 2008
2445,"Soto Cámara, J. L.","Química orgánica: Grupos Funcionales y Heterociclos
V.III",Síntesis,2005,QD251.2 S67 2005
2446,"Bermejo, M. R., A. Ma. González-Noya y M.
Vázquez",El nombre y el símbolo de los elementos químicos,Síntesis,2008,QH83 B47 2008
2447,"Herranz Santos, M. J. y M. L. Pérez Pérez",Nomenclatura de química orgánica,Síntesis,2008,QD291 H47 2008
2448,"Aragón de la Cruz, F.",Historia de la química,Síntesis,2009,QD11 A73 2009
2449,"Pico Marín, C., M. L. López García y M. l. Veiga Blanco",Cristaloquímica de materiales: de la estructuira a las propiedades de los sólidos inorgánicos,Síntesis,2007,QD905.2 P53 2007
2450,"Baldor, F. A.",Nomenclatura química inorgánica,Selector,2009,QD149 B35 2009
2451,"Klein, D. R.","La química orgánica como segunda lengua: Domine los conceptos básicos y desarrolle habilidades para la
solución de problemas",Limusa Wiley,2011,QD256 K54218 2011 V.2
2452,"Cuevas, G. y F. Cortés",Introducción a la química computacional,"Fondo de Cultura
Economica",2003,QD39.3M677 C84 2003
2453,"This, H.",Cacerolas y tubos de ensayo,Acribia,2005,TX559 T4518 2005
2454,"Méndez, J. D.",Aminoácidos: aspectos bioquímicos y fisiológicos,Prado,2008,QP561 M45 2008
2455,"Andrés Moya, M. San y S. Viña Ferrer de la","Fundamentos de química y física para la conservación y
restauración",Síntesis,2009,N8560 S35 2009
2456,"Marín GalvÍn, R.",Fisicoquímica y microbiología de los medios acuáticos: tratamiento y control de calidad de aguas,Díaz de Santos,2003,QR105 M37 2003
2457,"García Fronti, V., A. A. Pazos y M. García Fronti",Aprendiendo: Química con office,Omicron System,2004,QA39.3E46 G37 2004
2458,"Maron, S. H. y C. F. Prutton",Fundamentos de fisicoquímica,Limusa,2011,QD453.2 M375 2011
2459,"Solís Correa, H. E.",Nomenclatura química,Gpo. Editorial Patria,2009,QD7 S65 2009
2460,"Sánchez Batanero, P. y Ma. I. Gómez del Río","Química analítica general Vol.1, Equilibrio en fase
homogénea y métodos analíticos",Síntesis,2006,QD75.22 S35 2006
2461,"García-Segura, J. M., [et. al]",Técnicas instrumentales de análisis en bioquímica,Síntesis,2008,QH345 T45 2008
2462,"Wade, L. G.",Química orgánica Vol. 1,Pearson educación,2011,QD251.2 W3318 2011 V.1
2463,"Wade, L. G.",Química orgánica Vol. 2,Pearson Educación,2011,QD251.2 W3318 2011 V.2
2464,"Wauquier, J.-P.",El refino del petróleo,Díaz de Santos,2004,TP690 W3818 2004
