id,autor,titulo,editorial,anio,clasificacion
3676,"Ibarra Colado, E. & L. Montaño Hirose (comp.)","Ensayos criticos para el estudio de las organizaciones en
México",Porrúa,1991,HD37 E7E57 1991
3677,"Riesman, D.",Psicoanalisis y ciencias sociales,Paidos,1954,H33 R532 1954
3678,"Suarez-Iñiguez, E.",Viejos y nuevos problemas de las ciencias sociales,El caballito,1994,H61 V53 1994
3679,"Daus, F. A:","El ""subdesarrollo latinoamericano""",El ateneo,1976,HC163 D37 1976
3680,"Eysenck, H. J.","The structure of human personality (la estructura de la
personalidad humana)",Methuen & Co. LTD,1970,BF431 E9 1970
3681,"Nevin, J. A. & G. S. Reynolds","The estudy of behavior. Learning, motivation, emotion, and instinct (El estudio del comportamiento.
Aprendizaje, la motivación, la emoción y el instinto)","Scott, Foresman",1973,BF319 N47 1973
3682,"Morris, C. G.",Psychology an Introduction (Introducción a la psicología),Meredith,1973,BF121 M65 1973
3683,"Juaristi, E.","Introducción a la estereoquímica y al análisis
conformacional",El Colegio Nacional,2007,QD481 J84 2007
3684,"Zahradník, R. & P. Cársky","Organic Quantum Chemistry (Química orgánica
cuántica. Problemas)",Plenum Press,1972,QD462 Z34 1972
3685,"McLennan, B. J.","principles      of      programming      languages:      Design, evaluation, and implementation (principios de lenguajes de programación: Diseño, evaluación y ejecución)",CBS,1983,QA76.7 M33 1983
3686,"Fairbairn, W. Ronald D.",Estudios psicoanalítico de la personalidad,Horme,1978,BF175 F34 1978
3687,"Kay, H., B. Dodd & M. Sime",La técnica de la instrucción programada,Paidós,1968,LB1028.5 K385 1968
3688,"Mac Ginitie, W, H.",La comprensión del lenguaje en la educación,Paidós,1975,LB1528 M32 1975
3689,"Paín, S. & H. Echeverría de Jons","Psicopedagogía operativa. Tratamiento educativo de la
deficiencia mental",Nueva Visión,1972,LC4661 P342 1972
3690,"Guglielmi, J.","La enseñanza programada en la escuela. Ensayo
psicopedagógico",Paidós,1972,LB1028.5 G82 1972
3691,"Loen, R. O.",Principios de administración,El ateneo,1976,HD31 L582 1976
